txt_ind,txt_sun
Perhimpunan Bangsa-Bangsa Asia Tenggara,Organisasi Nagara-Nagara di Asia Tenggara
Organisasi Kesehatan Sedunia,Organisasi Kaséhatan Dunya
Merkurius,Mérkurius
Mars,Mars
Ceres,Ceres
Yupiter,Yupiter
Uranus,Uranus
Neptunus,Néptunus
Pluto,Pluto
Haumea,Haumea
Makemake,Makemake
Eris,Eris
planet katai,planét katé
Tata Surya,Sistim tatasurya
Alam semesta,Jagat
lubang hitam,liang hideung
Laut Kutub Utara,Samudra Arktik
Samudra Arktik,Samudra Arktik
Samudra Atlantik,Samudra Atlantik
Samudra Hindia,Samudra Hindia
Samudra India,Samudra Hindia
Lautan Teduh,Samudra Pasifik
Samudra Pasifik,Samudra Pasifik
Samudra Selatan,Samudra Kidul
Lautan Antartika,Samudra Kidul
kecil,leutik
keCil,leutik
membakar,meuleum
baja,waja
neraca,dacin
timbangan,dacin
neutron,neutron
baru,%anyar
baru7,%anyar
buntut,%buntut
makan,%dahar
telur,%endog
lemak,%gajih
keriN,%gariN
dara,%getih
darah,%getih
satu,%hiji
satu7,%hiji
gigi,%huntu
gigi7,%huntu
semua,%kabeh
kepala,%sirah
aer,Cai
air,Cai
data,data
informasi,data
angka kenyataan,data
jiwa,manah
manggis,manggu
tahu,5aho
kata,5arita
gigit,5eureud
ATP,ATP
adenosin trifosfat,ATP
Aku cinta kamu,Abdi bogoh ka anjeun
Aku cinta kepadamu,Abdi bogoh ka anjeun
Aku cinta padamu,Abdi bogoh ka anjeun
Aku sayang kamu,Abdi bogoh ka anjeun
Aku suka sama kamu,Abdi bogoh ka anjeun
Gua suka sama lu,Abdi bogoh ka anjeun
Saya cinta kamu,Abdi bogoh ka anjeun
saya cinta kamu,Abdi bogoh ka anjeun
aku cinta padamu,Abdi bogoh ka anjeun
aku sayang kamu,Abdi bogoh ka anjeun
aku cinta kepadamu,Abdi bogoh ka anjeun
aku cinta kamu,Abdi bogoh ka anjeun
aku suka sama kamu,Abdi bogoh ka anjeun
Accra,Accra
Afganistan,Afganistan
Afrika,Afrika
Agustus,Agustus
Aljir,Aljir
Alkitab,Alkitab
Andorra,Andorra
Antigua dan Barbuda,Antigua at Barbuda
Afghanistan,Apganistan
April,April
Asia,Asia
Bali,Bali
Bahasa Sunda,Basa Sunda
Beijing,Beijing
Beruang,Biruang
Bulan,Bulan
Belgia,Bélgia
negeri Belgia,Bélgia
%kupiN,Ceuli
teliNa,Ceuli
DNA,DNA
Desember,Désémber
Denmark,Dėnmark
Hong Kong,Hong Kong
"Hong Kong S.A.R., Cina",Hong Kong
India,India
Indonesia,Indonésia
Pulau Irian,Irian
januari,Januari
Januari,Januari
Jepang,Jepang
negara Jepang,Jepang
Juli,Juli
juli,Juli
Juni,Juni
Jerman,Jérman
negeri Jerman,Jėrman
Kairo,Kairo
katalan,Katalanya
Pelangi,Katumbiri
Laut Cina Selatan,Laut Cina Kidul
Malaysia,Malaysia
Bumi,Marcapada
Maret,Maret
Minggu,Minggu
Muhammad,Muhammad
Nabi Muhammad,Muhammad
Myanmar,Myanmar
Mei,Méi
mei,Méi
Meksiko,Méksiko
berbariN,NabohuN
d3N3r,NadeNe
mendeNar,NadeNe
%nama,Naran
%nama7,Naran
Nepal,Nepal
minum,Ninum
berenaN,Nojay
November,Nopémber
Octobre,Oktober
Oktober,Oktober
Pakistan,Pakistan
Matahari,Panonpoé
Perang Dunia I,Perang Dunya I
Februari,Pébruari
februari,Pébruari
Rumania,Romania
Rusia,Rusia
Republik Sosialis Uni Soviet,Rusia
Uni Soviet,Rusia
hari Sabtu,Saptu
sabat,Saptu
Seribu Satu Malam,Sarébu Hiji Peuting
Arab Saudi,Saudi Arabia
Selandia Baru,Selandia Baru
Shanghai,Shanghai
Siberia,Sibéria
Sierra Leone,Sierra Leone
Sri Lanka,Sri Langka
Stockholm,Stockholm
Sumatra,Sumatra
Swedia,Swédia
Sweden,Swédia
September,Séptémber
Tanzania,Tanzania
Vanuatu,Vanuatu
Vietnam,Viétnam
Belanda,Walanda
Holland,Walanda
Netherlands,Walanda
Zimbabwe,Zimbabwé
kata sifat,adjéktif
adjektiva,adjéktif
kata keadaan,adjéktif
adenosina trifosfat,adénosin trifosfat
pertanian,agrikultur
akar,akar
urat,akar
%saya,aiN
saya,aiN
zon,aiN
pindah,alih
engkau,anjeun
kamu,anjeun
anda,anjeun
lu,anjeun
saudara,anjeun
dia,anjeunna
anZiN,anjiN
anjiN,anjiN
angin,angin
aŋin,angin
anjing,anjing
anjiŋ,anjing
yang,anu
kalian,aranjeun
mereka,aranjeunna
ati7,ati
hepar,ati
atom,atom
awan,awan
perempuan,awewe
wanita,awewe
betina,awewe
mulut,baham
badak,badak
babi hutan,bagong
celeng,bagong
babi jantan,bagong
bantal,bantal
ayah,bapa
bapak,bapa
dengan,bareng
membengkak,bareuh
membeŋkak,bareuh
bengkak,bareuh
bahasa,basa
bahasa indonesia,basa Indonésia
bahasa akkadia,basa Inggris
bahasa inggris,basa Inggris
bahasa Inggris,basa Inggris
Bahasa Inggris,basa Inggris
bahasa italia,basa Itali
bahasa jawa,basa Jawa
bahasa esti,basa Jepang
bahasa jepang,basa Jepang
bahasa korea,basa Koréa
bahasa latin,basa Latin
bahasa Sanskerta,basa Sangsakerta
bahasa Sansekerta,basa Sangsakerta
bahasa sunda,basa Sunda
bahasa Sunda,basa Sunda
bahasa swedia,basa Swédia
bahasa turki,basa Turki
bahasa pemrograman,basa program
basah,baseuh
batu,batu
batu7,batu
biawak,bayawak
orang-orangan,bebegig
penakut burung,bebegig
senapan,bedil
bintang,bentung
beku,beku
dungu,belegug
geblek,belegug
goblok,belegug
bisu,belegug
betul,bener
bintaN,bentaN
bintaŋ,bentang
leher,beuheuN
léhér,beuheung
belah,beulah
merah,beureum
mérah,beureum
tikus,beurit
perut,beuteuN
belatung,bilatung
biji,binih
biZi,binih
biokimia,biokimia
putih,bodas
buah,buah
buah-buahan,bubuahan
sebiji buah,bubuahan
bubur,bubur
busuk,burung
anak,budak
buaya,buhaya
rambut,buk
buku,buku
bulan,bulan
bulat,buleud
bulu,bulu
ekor,buntot
ékor,buntot
botak,butak
bebal,béno
sontoloyo,béno
tolol,béno
banjir,caah
cacing,cacing
caciŋ,caciŋ
duduk,calik
pisang,cau
kuping,cepil
telinga,cepil
kupiŋ,ceuli
teliŋa,ceuli
jari kelingking,cingir
kelingking,cingir
jari telunjuk,curuk
tarjani,curuk
telunjuk,curuk
daun,daun
duan,daun
dagiN,dagiN
daging,daging
dagiŋ,daging
dahan,dahan
delapan,dalapan
lapan,dalapan
bupati,dalem
dat3N,dataN
dataN,dataN
datang,datang
dataŋ,datang
mendataŋi,datang
mendataŋ,datang
mendekati,datang
serta,datang
dekat,deukeut
di,di
di bawah,dihandap
di sini,dieu
sini,dieu
bekerja,digawe
[di] dalam,dijero
di dalam,dijero
[di] atas,diluhur
di atas,diluhur
di mana,dimana
dimana,dimana
di sana,ditu
situ,ditu
menduduk,diuk
dua,dua
duwa7,dua
bakar,duruk
sempit,déét
ibu,ema
telor,endog
teh,entéh
malu,era
es,es
itu,eta
eukaryota,eukariot
fotosintesis,fotosintésis
kering,garing
keriŋ,garing
istri,garwa
kilat,gelap
kelahi,gelut
ginjal,ginjal
gemuruh,guludug
guntur,guludug
bukit,gunuN
gunuN,gunuN
gunung,gunung
kabut,halimun
kantung empedu,hampru
kantong empedu,hampru
hangat,haneut
haNat,haneut
asap,haseup
atap,hateup
kompor,hawu
tungku,hawu
abu-abu,hawuk
hijau,hejo
hiZau,hejo
bukan,henteu
tidur,hes
menguap,heuay
meŋguap,heuay
lama,heubeul
terbang,hiber
terbaŋ,hiber
terbaN,hiber
hitam,hideuN
kehidupan,hirup
hujan,hujan
huZan,hujan
danta,huntu
ini,ieu
lidah,ilat
lida,ilat
rumah,imah
cucu,incu
bunda,indung
insulin,insulin
hormon insulin,insulin
tipis,ipis
bila,iraha
kapan,iraha
hiduN,iruN
iduN,iruN
hidung,irung
hiduŋ,irung
ranting,iteuk
jari manis,jariji
jari tengah,jajangkung
jari hantu,jajangkung
jari mati,jajangkung
jari panjang,jajangkung
jari malang,jajangkung
jalan,jalan
manusia,jalma
%insan,jalma
oraN,jalma
sayap,jangjang
ZantuN,jantuN
jantung,jantung
jauh,jauh
orang,jelema
oraŋ,jelema
dalam,jero
dan,jeung
rumput,jukut
juni,juni
dedemitan,jurig
polong,jurig
roh,jurig
jarum,jɘrum
kayu,kai
kaki,kaki
kelapa,kalapa
gali,kali
tebal,kandel
jahit,kaput
carboxylic,karboksilat
haid,kareseban
menstruasi,kareseban
datang bulan,kareseban
kanan,katuhu
pelangi,katumbiri
bianglala,katumbiri
limpa,kawaya
kura,kawaya
debu,kebul
buŋa,kembang
kembang,kembang
puspa,kembang
kiri,kenca
pasir,keusik
tua,kolot
kuniN,koneN
kuning,koneng
kuniŋ,koneng
kuda,kuda
kuku,kuku
kulit,kulit
belulaN,kulit
bagaimana,kumaha
daku,kuring
karena,kusabab
kutu,kutu
langit,langit
laŋit,langit
gugur,labuh
tumbang,labuh
lain,lain
laki-laki,lalaki
lelaki,lalaki
pria,lalaki
kalau,lamun
laba-laba,lancah
araneo,lancah
landak susu,landak
landak kecil,landak
landak,landak
ikan,lauk
laut,laut
lebar,lega
bumi,lemah
darat,lemah
tanah,lemah
licin,lemes
lurus,lempeng
tepat,leres
taNan,leuNeun
leukemia,leukemia
Zalan,leumpaN
berjalan,leumpang
tangan,leungeun
lengan,leungeun
hutan,leuweung
rimba,leuweung
taŋan,leuŋeun
lima,lima
nipis,limo
gempa bumi,lini
banyak,loba
bunglon,londok
diri,lugay
berdiri,lugay
kusta,lépra
melempar,maledogkeun
melémparkan,maledogkeun
eŋkau,maneh
beliau,maneh-na
ia,maneh-na
[d]ia,manehna
burung,manuk
buruŋ,manuk
buruN,manuk
pupuk,manur
mencuri,maok
meréka,maranehanana
maret,maret
memasak,masak
hulu,mastaka
mata,mata
mata7,mata
m3niNgal,mate
mati7,mate
harimau,maung
macan,maung
main,maén
menanam,melak
meremas,meres
memeras,meres
tarik,metot
membelah,meulah
membeli,meuli
mengikat,meungkeut
meŋikat,meungkeut
ikat,meungkeut
peras,meureut
minyak,minyak
berfikir,mikir
memikir,mikir
memilih,milih
tumpul,mintul
berburu,moro
buru,moro
memotoŋ,motong
memotong,motong
menetak,motong
pegang,muntang
belok,méngkol
bélok,méngkol
metabolisme,métabolisme
mendaki,naek
memanjat,naek
naik,naek
nama,nami
menangis,nangis
menaŋis,nangis
apa,naon
nyanyi,nembang
liyat,nempo
melihat,nempo
memukul,neunggeul
neutrino,neutrino
menémbak,ngabedil
baring,ngabohong
mendengar,ngadenge
mendeŋar,ngadenge
dengar,ngadéngé
menggaruk,ngagaro
meŋgarut,ngagaro
mangunyah,ngagayem
meŋuñah,ngagayem
berbaring,ngagoler
berbariŋ,ngagoler
gosok,ngagosok
menggali,ngali
mengalir,ngalir
meŋalir,ngalir
alir,ngalir
lempar,ngalung
apung,ngambang
mengapung,ngambang
menjahit,ngaput
nafas,ngarénghap
meŋgigit,ngegel
bermimpi,ngimpi
mimpi,ngimpi
menghitung,ngitung
meŋhituŋ,ngitung
hitung,ngitung
coret,ngoet
berenang,ngojay
berenaŋ,ngojay
renang,ngojay
berkata,ngomong
berbicara,ngomong
cuci,ngumbah
bertiup,niup
meniup,niup
tiup,niup
tusuk,nojos
menikam,nubles
menusuk,nubles
dorong,nulak
menumbuk,nutu
hapus,nyapukeun
memegang,nyekel
memegaŋ,nyekel
hisap,nyerot
bernafas,nyeunghap
bernapas,nyeunghap
mengisap,nyeuseup
meŋisap,nyeuseup
meludah,nyiduh
meludahi,nyiduh
ludah,nyiduh
mencium,nyium
empat,opat
ular,oray
pengiring pengantin,pagarayu
pendamping mempelai,pagarbagus
pagar,pager
prajurit,pajurit
serdadu,pajurit
tentara,pajurit
palu,palu
isteri,pamajikan
yad,panangan
panZaN,panjaN
panjaŋ,panjang
matahari,panonpoe
mata ari7,panonpoe
mata hari,panonpoe
mentari,panonpoe
surya,panonpoe
pendek,pendek
péndék,pendek
pedut,pepedut
isi perut,peujit
lambuŋ,peujit
usus,peujit
usus besar,peujit
usus kecil,peujit
mal3m,peutiN
malam,peutiN
payudara,pinareup
%payudara,pinareup
buah dada,pinareup
susu,pinareup
tete7,pinareup
pinus,pines
tusam,pines
kayu tusam,pines
p3nuh,pinuh
patah,pites
hari,poe
pulau,pulo
nusa,pulo
pulau kecil,pulo
pulau yang sangat kecil,pulo
Pebruari,pébruari
ayahanda,rama
bapa,rama
hari rabu,rebo
rabu,rebo
hari Rabu,rebo
nyamuk,reungit
ñamuk,reungit
anai-anai,rinyuh
rayap,rinyuh
robot,robot
luas,rubak
lébar,rubak
reptil,réptil
binatang melata,réptil
sedikit,saeutik
siapa,saha
suami,salaki
sembilan,salapan
salju,salju
sepuluh,sapuluh
binatang,sato
hewan,sato
satwa,sato
tajam,seukeut
api7,seuneu
tertawa,seuri
ketawa,seuri
tawa,seuri
isap,seuseup
bibit,siki
danau,situ
telaga,situ
angsa,soang
telapak kaki,suku
bahan bakar,suluh
Sum sum tulang,sungsum tulang
sumsum,sungsum tulang
sumsum tulang,sungsum tulang
dada,susu
pohon,taNkal
tiga7,taNkal
tabel periodik,tabel periodik
bahu,taktak
tali,tali
tanduk,tanduk
tarung,tarung
tahun,taun
tahun/milik kamu,taun
dingin,tiis
diŋin,tiis
tiga,tilu
diNin,tiris
belakaŋ,tonggong
punggung,tonggong
tujuh,tudjuh
tulaN,tulaN
tulang,tulang
tulaŋ,tulang
lutut,tur
tumbuh,tuwuh
testis,téstis
buah pelir,téstis
kami,uraN
kita,uraN
nen,uraN
uretra,urétra
muntah,utah
memuntahkan,utah
garam,uyah
sungai,wahangan
labu,waluh
kenyang,wareg
ekologi,ékologi
sembuñi,ñumput
alkana,alkana
amin,amen
antioksidan,antioksidan
Republik Arab Suriah,Républik Arab Suriah
Republik Argentina,Républik Argéntina
ikatan kovalen,beungkeut kovalén
nukleus,inti atom
inti atom,inti atom
inti sel,nukleus
pembuahan,fértilisasi
Persemakmuran Bahama,Pasamakmuran Bahama
Kepulauan Cook,Kapuloan Cook
Republik Demokratik Federal Etiopia,Républik Démokratik Féderal Étiopia
Republik Demokratis Rakyat Aljazair,Républik Démokratik Rahayat Aljazair
Republik Demokratik Rakyat Laos,Républik Démokratik Rahayat Leo
bahasa Jerman,basa Jérman
Republik Dominika,Républik Dominika
ester,éster
Republik Federasi Brasil,Républik Féderasi Brasil
Kepangeranan Andorra,Kapangéranan Andorra
kesehatan,kaséhatan
aparatus Golgi,awak Golgi
kompleks Golgi,awak Golgi
badan Golgi,awak Golgi
Kerajaan Hasyimiyah Yordania,Karajaan Hasyimiyah Yordania
halaman utama,tepas
internet,internét
Republik Islam mauritania,Républik Islam Mauritania
Jawa,pulo Jawa
Kamboja,Kamboja
hidrokarbon,hidrokarbon
karbon,karbon
zat arang,karbon
Republik Kooperatif Guyana,Républik Kooperatif Guyana
Kerajaan Bahrain,Karajaan Bahrain
Kerajaan Belgia,Karajaan Bélgia
Kerajaan Bhutan,Karajaan Butan
aditif makanan,aditif kadaharan
bahan tambahan makanan,aditif kadaharan
penyakit Hansen,kasakit Hansen
macan tutul,maung totol
Macan Tutul,maung totol
mitokondria,mitokondria
psikologi,psikologi
Republik Azerbaijan,Républik Azerbaijan
Republik Armenia,Républik Arménia
Republik Benin,Républik Bénin
Republik Botswana,Républik Botswana
Republik Guinea Khatulistiwa,Républik Guinéa Khatulistiwa
ribosom,ribosom
Saint Vincent dan Grenadines,Saint Vincent jeung Grénadin
alam semesta,jagat
jagad raya,jagat
Uni Emirat Arab,Uni Émirat Arab
Kerajaan Bersatu Britania Raya dan Irlandia Utara,Karajaan Ngahiji Britania Raya jeung Irlandia Kalér
Republik Rakyat Bangladesh,Républik Rahayat Bangladés
hidrogen,hidrogén
zat air,hidrogén
Republik Afrika Tengah,Républik Afrika Tengah
interaksi,interaksi
gula,gula
sakar,gula
vagina,liang heunceut
puki,liang heunceut
oksigen,oksigén
zat asam,oksigén
zat pembakar,oksigén
ilmu,élmu
-logi,-logi
Kekristenan,Kristen
Kristen,Kristen
Nasrani,Kristen
mengkudu,cangkudu
alur,galur
sanggup,kersa
akselerasi,akselerasi
percepatan,akselerasi
umur,yuswa
usia,yuswa
alkuna,alkuna
ketiak,kelek
bibi,ébé
tante,ébé
ébé,ébé
bayi,ᮇᮛᮧᮊ᮪
balsem,duyungson
basalt,basalt
kampret,lalai
kelelawar,lalai
kelawar,lalai
batik,batik
beruang,ontohod
beruang madu,ontohod
lantaran,jalaran
dikarenakan,jalaran
bangsat,tumbila
kepinding,tumbila
kutu busuk,tumbila
tinggi,tumbila
bengkok,bingkeng
didih,golak
kitab,ᮘᮥᮊᮥ
boraks,pijer
bleng,pijer
cetitet,pijer
pijer,pijer
ilmu tumbuh-tumbuhan,élmu tutuwuhan
mematahkan,mites
sapu,sapu
abang,raka
adik perempuan,raka
kakak perempuan,raka
saudari,raka
taring,sihung
ibukota,dayeuh
kucing,êméng
kelabang,babakaur
lipan,babakaur
kancil,pecang
pelanduk,pecang
kanak,murangkalih
dagu,angkeut
talenan,rampadan
bundar,bunder
iklim,ᮄᮊᮣᮤᮙ᮪
jam,jam
lonceng,jam
pakaian,baju
berawan,reueuk
cengkih,ᮎᮨᮀᮊᮦᮂ
kacoa,cucunguk
kecoa,cucunguk
kecoak,cucunguk
gumpalan,taiyeur
humor,bodor
lawak,bodor
komedi,bodor
jenazah,mayit
bangkai,layon
kelemumur,totombé
ketombe,totombé
berangkat,angkat
kontol,kanjut
titit,kanjut
peler,kanjut
kanjut,kanjut
skrotum,kanjut
jarak,anggang
menjauhi,anggang
anjing jantan,asu
lumba-lumba,ᮜᮥᮙ᮪ᮘᮜᮥᮙ᮪ᮘ
sedot,unjal
unduh,unjal
donlod,unjal
lantai bawah,landeh
bebek,meri
durian,duren
duli,kekebul
berdebu,belewuk
eko-,éko-
gajah,ᮌᮏᮂ
bara,ruhay
rekayasa,ᮛᮦᮊᮚᮞ
teknik,ᮛᮦᮊᮚᮞ
gas buangan,kelun
fajar,solat subuh
salat subuh,solat subuh
segelintir,sakedik
kebakaran,kahuruan
perapian,anglo
teguh,keyeng
lembek,biyé
salur,kucur
salir,kucur
semerbak,ᮓᮜᮤᮀᮓᮤᮀ
katak,bangkong
kodok,bangkong
garuda,dadali
geometri,ᮆᮜ᮪ᮙᮥ ᮅᮊᮥᮁ
kambing,êmbé
kubur,pakuburan
makam,pakuburan
pekuburan,pakuburan
pusara,pakuburan
kakek buyut,aki uyut
nenek buyut,nini uyut
air tanah,ᮎᮄ ᮒᮔᮩᮂ
ngaceng,nyogong
kasar,loma
helium,hélium
tanah air,lemah cai
apabila,upami
jika,upami
batuan beku,batu igneus
miring,sempong
baharu,weuteuh
nangka,ᮔᮀᮊ
kendang,ᮊᮨᮔ᮪ᮓᮀ
kendhang,ᮊᮨᮔ᮪ᮓᮀ
